contestId, level,solvedCount
925,A,2395
924,F,24
924,E,326
924,D,604
924,C,2468
924,B,3712
924,A,3945
923,F,27
923,E,96
923,D,783
923,C,2673
923,B,4575
923,A,3717
922,F,348
922,E,972
922,D,2617
922,C,4293
922,B,5522
922,A,6395
921,14,0
921,13,0
921,12,0
921,11,0
921,10,0
921,09,0
921,08,0
921,07,0
921,06,0
921,05,0
921,04,0
921,03,0
921,02,0
921,01,0
920,G,796
920,F,1936
920,E,1800
920,D,346
920,C,4346
920,B,4591
920,A,5570
919,F,147
919,E,967
919,D,3334
919,C,5918
919,B,9928
919,A,9527
918,B,7475
918,A,9320
917,E,38
917,D,242
917,C,159
917,B,2131
917,A,2448
916,E,450
916,D,241
916,C,3010
916,B,1078
916,A,6419
915,G,449
915,F,692
915,E,993
915,D,1518
915,C,3780
915,B,5719
915,A,8734
914,H,41
914,G,324
914,F,313
914,E,541
914,D,2188
914,C,2195
914,B,5801
914,A,8206
913,H,48
913,G,88
913,F,245
913,E,516
913,D,2911
913,C,4488
913,B,7507
913,A,10990
912,E,697
912,D,1179
912,C,394
912,B,5501
912,A,8469
911,G,531
911,F,532
911,E,1345
911,D,2506
911,C,4430
911,B,5959
911,A,7174
910,C,922
910,B,981
910,A,2584
909,F,286
909,E,922
909,D,1073
909,C,2469
909,B,4475
909,A,6044
908,H,143
908,G,368
908,F,882
908,E,486
908,D,1264
908,C,4972
908,B,6296
908,A,10102
907,B,3334
907,A,4239
906,E,97
906,D,436
906,C,689
906,B,781
906,A,3221
903,G,175
903,F,310
903,E,727
903,D,1973
903,C,6052
903,B,5333
903,A,8216
902,B,5207
902,A,6255
901,E,26
901,D,191
901,C,633
901,B,1042
901,A,3688
900,E,590
900,D,1235
900,C,2573
900,B,4915
900,A,7559
899,F,865
899,E,1127
899,D,1642
899,C,4538
899,B,4064
899,A,6245
898,F,547
898,E,2694
898,D,2296
898,C,3416
898,B,5610
898,A,8147
897,B,5197
897,A,8084
896,E,256
896,D,152
896,C,469
896,B,1240
896,A,2558
895,E,430
895,D,647
895,C,1546
895,B,2275
895,A,4714
894,E,785
894,D,746
894,C,2704
894,B,2840
894,A,10536
893,F,569
893,E,1218
893,D,1584
893,C,5842
893,B,5733
893,A,6289
892,B,5167
892,A,7677
891,E,184
891,D,57
891,C,784
891,B,1820
891,A,4533
889,E,101
888,G,638
888,F,210
888,E,1874
888,D,2341
888,C,3363
888,B,5343
888,A,6188
887,F,67
887,E,76
887,D,335
887,C,2212
887,B,3915
887,A,7096
886,F,157
886,E,454
886,D,1275
886,C,4011
886,B,5357
886,A,6507
884,F,350
884,E,282
884,D,1009
884,C,2726
884,B,4699
884,A,6285
883,M,1833
883,L,137
883,K,623
883,J,341
883,I,786
883,H,897
883,G,773
883,F,1367
883,E,1098
883,D,157
883,C,402
883,B,193
883,A,374
879,B,6111
879,A,6864
878,E,78
878,D,222
878,C,491
878,B,716
878,A,3536
877,F,498
877,E,1905
877,D,1882
877,C,3800
877,B,4631
877,A,7355
876,B,5265
876,A,6552
875,F,513
875,E,336
875,D,1124
875,C,1218
875,B,3758
875,A,6709
873,F,357
873,E,188
873,D,1225
873,C,1867
873,B,3181
873,A,4578
871,E,43
870,F,211
870,E,588
870,D,805
870,C,5188
870,B,5058
870,A,6574
869,E,821
869,D,94
869,C,2679
869,B,7360
869,A,6996
868,G,32
868,F,554
868,E,155
868,D,651
868,C,2434
868,B,2738
868,A,5081
867,A,7567
865,G,45
865,F,24
865,E,36
865,D,1243
865,C,422
865,B,1304
865,A,3289
864,F,382
864,E,2123
864,D,4060
864,C,4403
864,B,6105
864,A,7688
863,G,23
863,F,412
863,E,1030
863,D,1467
863,C,1372
863,B,2729
863,A,5612
862,F,80
862,E,740
862,D,1007
862,C,2543
862,B,5479
862,A,6737
860,E,206
859,G,70
859,F,78
859,E,937
859,D,606
859,C,2706
859,B,3893
859,A,4592
858,F,529
858,E,378
858,D,2248
858,C,3531
858,B,2597
858,A,4846
856,F,24
856,E,29
856,D,173
856,C,192
856,B,267
856,A,718
855,G,44
855,F,103
855,E,641
855,D,323
855,C,1016
855,B,3622
855,A,6687
854,B,5997
854,A,8280
853,E,29
853,D,377
853,C,995
853,B,1925
853,A,4410
852,I,273
852,H,46
852,G,810
852,F,360
852,E,475
852,D,386
852,C,205
852,B,553
852,A,202
851,B,3787
851,A,6226
850,F,99
850,E,146
850,D,160
850,C,716
850,B,1266
850,A,2409
849,B,2572
849,A,6313
848,E,35
848,D,89
848,C,443
848,B,1230
848,A,3690
847,M,3522
847,L,215
847,K,1011
847,J,356
847,I,1111
847,H,1733
847,G,3560
847,F,605
847,E,1026
847,D,568
847,C,1553
847,B,2079
847,A,2351
846,F,830
846,E,332
846,D,1015
846,C,1192
846,B,1408
846,A,2474
845,G,458
845,F,141
845,E,234
845,D,1380
845,C,3498
845,B,3010
845,A,4842
844,B,3847
844,A,5839
843,E,68
843,D,153
843,C,197
843,B,1368
843,A,3789
842,E,110
842,D,1494
842,C,2156
842,B,6810
842,A,6087
841,B,7131
841,A,8464
840,E,127
840,D,537
840,C,589
840,B,1319
840,A,5560
839,E,408
839,D,1575
839,C,5913
839,B,2558
839,A,9398
838,F,23
838,E,162
838,D,100
838,C,37
838,B,222
838,A,522
837,G,220
837,F,325
837,E,827
837,D,1475
837,C,2533
837,B,2523
837,A,5604
835,F,305
835,E,530
835,D,1983
835,C,4302
835,B,7391
835,A,10466
834,B,5550
834,A,6272
833,E,68
833,D,139
833,C,251
833,B,1453
833,A,3911
832,E,152
832,D,1807
832,C,300
832,B,3378
832,A,10319
831,C,2648
831,B,7984
831,A,6759
830,E,77
830,D,280
830,C,688
830,B,1871
830,A,2855
828,B,4302
828,A,5233
827,F,80
827,E,362
827,D,441
827,C,1030
827,B,2332
827,A,2758
825,G,339
825,F,454
825,E,1163
825,D,1793
825,C,2820
825,B,2557
825,A,4642
822,F,161
822,E,329
822,D,2074
822,C,2994
822,B,6476
822,A,11901
821,E,920
821,D,734
821,C,3750
821,B,4372
821,A,6104
820,B,4010
820,A,6083
819,E,177
819,D,101
819,C,133
819,B,1155
819,A,193
818,G,162
818,F,498
818,E,940
818,D,1897
818,C,723
818,B,1887
818,A,3948
817,F,575
817,E,842
817,D,1403
817,C,2822
817,B,2842
817,A,3559
816,B,5033
816,A,6445
815,E,119
815,D,266
815,C,1043
815,B,1010
815,A,4200
814,E,351
814,D,1386
814,C,3491
814,B,4363
814,A,7194
813,F,248
813,E,787
813,D,407
813,C,2326
813,B,2008
813,A,3263
812,E,633
812,D,228
812,C,5203
812,B,3175
812,A,5098
811,E,398
811,D,968
811,C,2199
811,B,4864
811,A,7697
810,B,4687
810,A,6222
809,E,214
809,D,262
809,C,410
809,B,952
809,A,3617
808,G,439
808,F,368
808,E,803
808,D,2415
808,C,3119
808,B,3523
808,A,5078
807,B,3078
807,A,6599
805,B,8154
805,A,9299
804,F,43
804,E,172
804,D,658
804,C,1206
804,B,5953
804,A,9479
803,G,360
803,F,828
803,E,872
803,D,1274
803,C,1945
803,B,3373
803,A,2501
802,O,72
802,N,216
802,M,1380
802,L,93
802,K,347
802,J,1013
802,I,262
802,H,231
802,G,1875
802,F,73
802,E,162
802,D,298
802,C,180
802,B,593
802,A,785
801,B,5808
801,A,5374
799,G,45
799,F,103
799,E,535
799,D,1354
799,C,2390
799,B,3914
799,A,5746
798,E,159
798,D,1161
798,C,3294
798,B,5299
798,A,10048
797,F,308
797,E,1294
797,D,826
797,C,2344
797,B,4073
797,A,4499
796,F,76
796,E,322
796,D,1752
796,C,2007
796,B,5966
796,A,8374
794,G,80
794,F,360
794,E,269
794,D,520
794,C,2183
794,B,3860
794,A,4575
793,G,82
793,F,121
793,E,139
793,D,961
793,C,877
793,B,2480
793,A,4189
792,F,55
792,E,503
792,D,1644
792,C,1866
792,B,3774
792,A,5253
791,A,21393
789,B,3551
789,A,6586
788,E,144
788,D,131
788,C,1245
788,B,1506
788,A,5282
787,B,4474
787,A,6559
786,E,148
786,D,48
786,C,885
786,B,1169
786,A,1495
785,E,805
785,D,1418
785,C,4737
785,B,7338
785,A,15657
784,G,574
784,F,667
784,E,1271
784,D,245
784,C,419
784,B,526
784,A,2256
780,H,59
780,G,280
780,F,603
780,E,1395
780,D,2138
780,C,4758
780,B,4073
780,A,8114
779,C,7019
779,B,6850
779,A,6783
778,E,147
778,D,249
778,C,539
778,B,1619
778,A,5257
777,E,1912
777,D,3035
777,C,3852
777,B,5535
777,A,6654
776,G,175
776,F,203
776,E,1275
776,D,2129
776,C,3370
776,B,6689
776,A,7173
775,A,0
774,L,151
774,K,935
774,J,218
774,I,63
774,H,132
774,G,43
774,F,50
774,E,119
774,D,1324
774,C,2024
774,B,151
774,A,238
773,F,45
773,E,114
773,D,304
773,C,683
773,B,931
773,A,2962
772,E,42
772,D,268
772,C,769
772,B,2246
772,A,3088
771,F,41
771,E,153
771,D,662
771,C,1701
771,B,5095
771,A,5841
770,D,1405
770,C,1513
770,B,1886
770,A,4728
769,D,1479
769,C,982
769,B,2635
769,A,3551
768,G,119
768,F,625
768,E,1535
768,D,1383
768,C,2596
768,B,3535
768,A,9075
767,E,557
767,D,1399
767,C,2139
767,B,1723
767,A,6651
766,E,1240
766,D,1782
766,C,3042
766,B,10276
766,A,10215
765,G,25
765,F,404
765,E,920
765,D,1966
765,C,4941
765,B,5063
765,A,5804
764,B,7729
764,A,9798
763,E,226
763,D,196
763,C,490
763,B,1821
763,A,5135
762,F,69
762,E,506
762,D,662
762,C,1347
762,B,3825
762,A,6237
761,F,234
761,E,1275
761,D,2744
761,C,3890
761,B,5349
761,A,9419
760,B,3117
760,A,5565
758,F,408
758,E,265
758,D,1991
758,C,2882
758,B,6917
758,A,15718
757,G,96
757,F,388
757,E,615
757,D,902
757,C,1854
757,B,5324
757,A,7982
756,F,39
756,E,67
756,D,548
756,C,837
756,B,2029
756,A,2400
755,G,211
755,F,561
755,E,539
755,D,1949
755,C,4759
755,B,5061
755,A,7477
754,E,255
754,D,1548
754,C,727
754,B,5646
754,A,5572
753,C,166
753,B,827
753,A,2988
750,H,49
750,G,120
750,F,272
750,E,639
750,D,2554
750,C,4775
750,B,7228
750,A,16799
749,E,450
749,D,1741
749,C,4286
749,B,5996
749,A,13627
748,F,360
748,E,1102
748,D,1192
748,C,3669
748,B,4022
748,A,6143
747,F,260
747,E,1395
747,D,1796
747,C,3196
747,B,5135
747,A,6012
746,G,775
746,F,401
746,E,1237
746,D,3393
746,C,2764
746,B,8767
746,A,9922
745,B,3024
745,A,6756
744,E,52
744,D,62
744,C,586
744,B,1250
744,A,4319
743,E,898
743,D,2495
